0 0 0	.C....BC.PTUBAAPTUYYYOTU...O.....KK. 
5 5 0	.C.P..BC.P.UBAA.TU.YYYTU...OT..KKO.. P99 T99 Y99 O99 K98 
5 5 0	.C.P..BC.P.UBAA.TU.YYYTU...OT.KK.O.. P99 T99 Y99 O99 K97 
5 5 0	.C.P..BC.P.UBAA.TU.YYYTU...OT....OKK P99 T99 Y99 O99 K99 
5 5 0	...PT.BC.PT.BCAATUYYYO.U...O.U...KK. C99 P99 T99 A99 U99 
5 5 0	.C.PT.BC.PT.B.AATUYYYO.U...O.U..KK.. P99 T99 U99 A99 K99 
5 5 0	.C.PT.BC.PT.B.AATUYYYO.U...O.U.KK... P99 T99 U99 A99 K98 
5 5 0	.C.PT.BC.PT.B.AATUYYYO.U...O.UKK.... P99 T99 U99 A99 K97 
5 5 0	.C.PT.BC.PT.B.AATUYYYO.U...O.U....KK P99 T99 U99 A99 K99 
5 5 0	.C.PT.BC.PT.BAAOTUYYYO.U.....U..KK.. P99 T99 U99 O99 K99 
5 5 0	.C.PT.BC.PT.BAAOTUYYYO.U.....U.KK... P99 T99 U99 O99 K98 
5 5 0	.C.PT.BC.PT.BAAOTUYYYO.U.....UKK.... P99 T99 U99 O99 K97 
5 5 0	.C.PT.BC.PT.BAAOTUYYYO.U.....U....KK P99 T99 U99 O99 K99 
5 5 0	.C.PT.BC.PT.BAA.TUYYY..U...O.U.KKO.. P99 T99 U99 O99 K98 
5 5 0	.C.PT.BC.PT.BAA.TUYYY..U...O.UKK.O.. P99 T99 U99 O99 K97 
5 5 0	.C.PT.BC.PT.BAA.TUYYY..U...O.U...OKK P99 T99 U99 O99 K99 
5 5 0	...PT.BC.PT.BCAAT.YYYO.U...O.U...KKU C99 P99 T99 A99 U98 
5 5 0	.C.PT.BC.PT.B.AAT.YYYO.U...O.U..KK.U P99 T99 U98 A99 K99 
5 5 0	.C.PT.BC.PT.B.AAT.YYYO.U...O.U.KK..U P99 T99 U98 A99 K98 
5 5 0	.C.PT.BC.PT.B.AAT.YYYO.U...O.UKK...U P99 T99 U98 A99 K97 
5 5 0	.C.PT.BC.PT.BAAOT.YYYO.U.....U..KK.U P99 T99 U98 O99 K99 
5 5 0	.C.PT.BC.PT.BAAOT.YYYO.U.....U.KK..U P99 T99 U98 O99 K98 
5 5 0	.C.PT.BC.PT.BAAOT.YYYO.U.....UKK...U P99 T99 U98 O99 K97 
5 5 0	.C.PT.BC.PT.BAA.T.YYY..U...O.U.KKO.U P99 T99 U98 O99 K98 
5 5 0	.C.PT.BC.PT.BAA.T.YYY..U...O.UKK.O.U P99 T99 U98 O99 K97 
5 5 0	...PTUBC.PTUBCAATUYYYO.....O.....KK. C99 P99 T99 U99 A99 
5 5 0	.C.PTUBC.PTUB.AATUYYYO.....O....KK.. P99 T99 U99 A99 K99 
5 5 0	.C.PTUBC.PTUB.AATUYYYO.....O...KK... P99 T99 U99 A99 K98 
5 5 0	.C.PTUBC.PTUB.AATUYYYO.....O..KK.... P99 T99 U99 A99 K97 
5 5 0	.C.PTUBC.PTUB.AATUYYYO.....O......KK P99 T99 U99 A99 K99 
5 5 0	.C.PTUBC.PTUBAAOTUYYYO..........KK.. P99 T99 U99 O99 K99 
5 5 0	.C.PTUBC.PTUBAAOTUYYYO.........KK... P99 T99 U99 O99 K98 
5 5 0	.C.PTUBC.PTUBAAOTUYYYO........KK.... P99 T99 U99 O99 K97 
5 5 0	.C.PTUBC.PTUBAAOTUYYYO............KK P99 T99 U99 O99 K99 
5 5 0	.C.PTUBC.PTUBAA.TUYYY......O...KKO.. P99 T99 U99 O99 K98 
5 5 0	.C.PTUBC.PTUBAA.TUYYY......O..KK.O.. P99 T99 U99 O99 K97 
5 5 0	.C.PTUBC.PTUBAA.TUYYY......O.....OKK P99 T99 U99 O99 K99 
5 5 0	...PT.BC.PTUBCAATUYYYO.U...O....KK.. C99 P99 T99 A99 K99 
5 5 0	...PT.BC.PTUBCAATUYYYO.U...O...KK... C99 P99 T99 A99 K98 
5 5 0	...PT.BC.PTUBCAATUYYYO.U...O..KK.... C99 P99 T99 A99 K97 
5 5 0	...PT.BC.PTUBCAATUYYYO.U...O......KK C99 P99 T99 A99 K99 
5 5 0	.C.PT.BC.PTUB.AATUYYY..U...O...KKO.. P99 T99 A99 O99 K98 
5 5 0	.C.PT.BC.PTUB.AATUYYY..U...O..KK.O.. P99 T99 A99 O99 K97 
5 5 0	.C.PT.BC.PTUB.AATUYYY..U...O.....OKK P99 T99 A99 O99 K99 
5 5 0	.C.PT.BC.PTUBAA.TU.YYY.U...O...KKO.. P99 T99 Y99 O99 K98 
5 5 0	.C.PT.BC.PTUBAA.TU..YYYU...O...KKO.. P99 T99 Y98 O99 K98 
5 5 0	.C.PT.BC.PTUBAA.TU.YYY.U...O..KK.O.. P99 T99 Y99 O99 K97 
5 5 0	.C.PT.BC.PTUBAA.TU..YYYU...O..KK.O.. P99 T99 Y98 O99 K97 
5 5 0	.C.PT.BC.PTUBAA.TU.YYY.U...O.....OKK P99 T99 Y99 O99 K99 
5 5 0	.C.PT.BC.PTUBAA.TU..YYYU...O.....OKK P99 T99 Y98 O99 K99 
5 5 0	...P..BC.PT.BCAATUYYYOTU...O.U..KK.. C99 P99 A99 U99 K99 
5 5 0	...P..BC.PT.BCAATUYYYOTU...O.U.KK... C99 P99 A99 U99 K98 
5 5 0	...P..BC.PT.BCAATUYYYOTU...O.UKK.... C99 P99 A99 U99 K97 
5 5 0	...P..BC.PT.BCAATUYYYOTU...O.U....KK C99 P99 A99 U99 K99 
5 5 0	.C.P..BC.P..B.AA.UYYYOTU...OTU..KKT. P99 T98 U99 A99 K99 
5 5 0	.C.P..BC.P..B.AA.UYYYOTU...OTU.KK.T. P99 T98 U99 A99 K98 
5 5 0	.C.P..BC.PT.B.AATUYYY.TU...O.U.KKO.. P99 U99 A99 O99 K98 
5 5 0	.C.P..BC.P..B.AA.UYYYOTU...OTUKK..T. P99 T98 U99 A99 K97 
5 5 0	.C.P..BC.PT.B.AATUYYY.TU...O.UKK.O.. P99 U99 A99 O99 K97 
5 5 0	.C.P..BC.PT.B.AATUYYY.TU...O.U...OKK P99 U99 A99 O99 K99 
5 5 0	.C.P..BC.P..BAAO.UYYYOTU....TU..KKT. P99 T98 U99 O99 K99 
5 5 0	.C.P..BC.P..BAAO.UYYYOTU....TU.KK.T. P99 T98 U99 O99 K98 
5 5 0	.C.P..BC.P..BAAO.UYYYOTU....TUKK..T. P99 T98 U99 O99 K97 
5 5 0	.C.P..BC.P..B..AAUYYYOTU...OTU..KKT. P99 T98 U99 A98 K99 
5 5 0	.C.P..BC.P..B..AAUYYYOTU...OTU.KK.T. P99 T98 U99 A98 K98 
5 5 0	.C.P..BC.P..BAA..UYYY.TU...OTU.KKOT. P99 T98 U99 O99 K98 
5 5 0	.C.P..BC.PT.BAA.TU.YYYTU...O.U.KKO.. P99 U99 Y99 O99 K98 
5 5 0	.C.P..BC.P..B..AAUYYYOTU...OTUKK..T. P99 T98 U99 A98 K97 
5 5 0	.C.P..BC.P..BAA..UYYY.TU...OTUKK.OT. P99 T98 U99 O99 K97 
5 5 0	.C.P..BC.PT.BAA.TU.YYYTU...O.UKK.O.. P99 U99 Y99 O99 K97 
5 5 0	.C.P..BC.PT.BAA.TU.YYYTU...O.U...OKK P99 U99 Y99 O99 K99 
5 5 0	...P..BC.PT.BCAAT.YYYOTU...O.U..KK.U C99 P99 A99 U98 K99 
5 5 0	...P..BC.PT.BCAAT.YYYOTU...O.U.KK..U C99 P99 A99 U98 K98 
5 5 0	...P..BC.PT.BCAAT.YYYOTU...O.UKK...U C99 P99 A99 U98 K97 
5 5 0	.C.P..BC.P..B.AA..YYYOTU...OTU..KKTU P99 T98 U98 A99 K99 
5 5 0	.C.P..BC.P..B.AA..YYYOTU...OTU.KK.TU P99 T98 U98 A99 K98 
5 5 0	.C.P..BC.PT.B.AAT.YYY.TU...O.U.KKO.U P99 U98 A99 O99 K98 
5 5 0	.C.P..BC.P..B.AA..YYYOTU...OTUKK..TU P99 T98 U98 A99 K97 
5 5 0	.C.P..BC.PT.B.AAT.YYY.TU...O.UKK.O.U P99 U98 A99 O99 K97 
5 5 0	.C.P..BC.P..BAAO..YYYOTU....TU..KKTU P99 T98 U98 O99 K99 
5 5 0	.C.P..BC.P..BAAO..YYYOTU....TU.KK.TU P99 T98 U98 O99 K98 
5 5 0	.C.P..BC.P..BAAO..YYYOTU....TUKK..TU P99 T98 U98 O99 K97 
5 5 0	.C.P..BC.P..B..AA.YYYOTU...OTU..KKTU P99 T98 U98 A98 K99 
5 5 0	.C.P..BC.P..B...AAYYYOTU...OTU..KKTU P99 T98 U98 A97 K99 
